alt,caption,commentsCount,dimensionsHeight,dimensionsWidth,displayUrl,firstComment,hashtags/0,hashtags/1,hashtags/2,hashtags/3 ,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11," ""hashtags/12""",hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags /20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28 ,hashtags/29,id,likesCount,locationId,locationName,mentions/0,mentions/1,mentions/2,mentions/3,ownerFullName, ownerId,ownerUsername,position,productType,queryTag,shortCode,timestamp,type,url,"videoViewCountvideoViewCount""videoViewCount"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 17#Orchid inlaid jade pen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 18#The Devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Poem#Yanyu#Wenqing#Quotations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃嚬馃嚰 #鍙扮仯#taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃専 #閵?鍔涘竷鎵?#new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#will #馃摲 #photo#human figure#film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photography#photography#馃帹 #dvd #閲戞湀鏃?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photogood 銇? 銇? 銇? 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#picture good 銇? 銇? 浜恒仺 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#銇娿倓銇欍伩銇仌銇?#Goodnight#goodnight""",0,1080,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271325923_661608791523779_18986.jpg ? _nc_ht = scontent-atl3-2.cdninstagram.com & _nc_cat = 111 & _nc_ohc = aUUy - FstHwAX8zvg9P & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT92OXhmPABHDll56iArLwIhJPMjQumN9UkKMJQgwspR3g & oe = 61E93067 & _nc_sid = d997c6 , , Charlie fighting demons policy ," Lan Xiang Yu pen  ""Tianmo""",Poem,Yanyu,Wen Qing,Quotations,馃嚬馃嚰,Taiwan,taiwan,馃専,Perak Puppet Show,new,will ,馃摲,Photo,Doll,Video,Photography,Photography,馃帹,dvd,Golden Day,Good photo 銇嶃仾浜恒仺銇屻倞銇熴亜,Photography ok 銇? 銇? 銇? 銇? 銈? 銇? 銇?,銇娿倓銇欍伩銇仌銇?,Goodnight,goodnight,,,2.74589E+18,17,,,,,,,,1339060785,,141,,Thunderbolt puppet show,CYbWzmuF-d0," ""2022-01-07T11:37:42.000Z""",Image,https://www.instagram.com/p/CYbWzmuF-d0/,,,
Photo by Qingxin Fuquan Fulin No. 2 Store in Qing Xin Fuquan Fulin No. 2 Store.. May be an anime-style image of text.,"馃敟The world is shocking馃敟Qing Xin Fuquan has launched a limited edition Su Huanzhen"" drink bag", which is extraordinary!  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you want to master half the sky in civil and military affairs," you must first master ""Su is true"". During the Spring Festival"," even children and children will bring ""Susu"" to drink and watch thunderbolts", and celebrate the New Year.馃イ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 11:00 a.m. on 1/10, come to the store to buy a large drink," add 150 yuan to buy a ""Su Huanzhen"" drink bag", the quantity is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The beverage bag uses the sublimation full-color transfer printing technology to delicately present the spirit, temperament, clothing and weapons of the characters, with Susu's elegant demeanor and Qingxin Fuquan delicious beverages in one hand, to enjoy the full joy and auspiciousness of the year of Renyin!馃Ё馃Ё,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睵recautions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. The number of each store for this premium purchase is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Wear a mask and maintain proper social distance when queuing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. This premium purchase is limited to ""in-store"" consumption", and is not applicable to delivery, telephone reservations and consumption through delivery platforms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻瞫tore baseQuery: https://pse.is/MAGDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睸ome stores have postponed salesInquiry: https://www.chingshin.tw/upload/image/20220106product03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#娓呭績绂忓叏#鎵? shakedrink#Spring Festival New Year movie# thunder cloth puppet show# Su Huanzhen drink bag# Happy New Year# Su Huanzhen #January 28," 2022 Spring Festival witnesses the legend""",0,814, 1080 , https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271330561_1139084023296484_8632009264319869789_n.jpg?_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=_fBW_TEu1E4AX_S6YV5&edm= AA0rjkIBAAAA&ccb=7-4&oh=00_AT_8VEDTptLYYMCSNIwN4r6cvzNO7A5LjD1W9-Hqe5LNMw&oe=61E99880&_nc_sid=d997c6,,Qingxinfuquan,Hand shaken drink,Spring Festival movie,Pili puppet show,Very real drink bag," ""Happy New Year""",Surely True,"The Spring Festival Witnesses Legends on January 28, 2022",,,,,,,,,,,,,,,,,,,,,,2.74589E+18,2,,,,,,,,16585179902,,142,,Thunderbolt Puppet Show,CYbV_ydvaKc,2022-01-07T11:30:38.000Z,Image,https://www.instagram.com/p/CYbV_ydvaKc/,,
"Photo by Tasuya Komura on January 07, 2022. May be an image of outdoors.",Magic Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunder cloth puppet show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#taiwanpuppetart""",0,1080,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e35/271400518_4657568737632136_2573615078147086872_n.jpg?_nc_ht=scontent-atl3 -2.cdninstagram.com & _nc_cat = 104 & _nc_ohc = MeU3fwHF_aQAX-v3pfP & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT-NaC5M5nua49oaK4AG3NiFDjxa2b2wxq6_bcpY3cfoEg & oe = 61E90830 & _nc_sid = d997c6 , , Charlie puppet , taiwanpuppetart ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,2.74588E+18,13,,,,,,,,3638140572,,143,,Thunderbolt Puppet Show," ""CYbU6tALtBa""",2022-01-07T11:21:12.000Z,Image,https://www.instagram.com/p/CYbU6tALtBa/,,,
"Photo shared by Zhenyu-Good Writing on January 07, 2022 tagging @huanzhen81.","Thanks to @chungen__0927 for the reminder,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a typo in the second sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Should be - is Jun Hyun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su is true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#涓囧勾pens#handwritten temperature#calligraphy#pen character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#鏈圤LD#writing#Chinese characters#gufeng#movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#handwriting#suhuizhen#traditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#writing #handwriting #calligraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#鑻辨枃#鎵?#Calligraphy#Puppet Show# Thunder Puppet Show""",3,1080,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/ e35 / 271353730_974104613193609_6524968971717630811_n.jpg? _nc_ht = scontent-atl3-2.cdninstagram.com & _nc_cat = 109 & _nc_ohc = JgkuZPCRpkcAX_EtRce & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT-Pu5_n_XAPld555DsTEbdjfm-AHXZsDOxEhZ1zHeoTKQ & oe = 61E95C47 & _nc_sid = d997c6 , , years pen , handwritten Temperature," ""Calligraphy"""," ""Pen Character"""," ""Yue Lao"""," ""Writing"""," ""Chinese Characters"""," ""Ancient Style"""," ""Movie"""," ""Handwriting"""," ""Su Huizhen"""," ""Tradition"""," ""writing """,handwriting,calligraphy,Chinese,Calligraphy,Puppet Show,Thunderbolt Puppet Show,,,,,,,,,,,,2.74584E+18,185,,," ""chungen__0927""",,,,,5866464420,,144,,Thunderbolt Puppet Show,CYbMzdzhkr1,2022-01-07T10:10:18.000Z,Sidecar,https://www.instagram.com/p/CYbMzdzhkr1/,,
"Photo by wei掳锝♀媶飧? 饾摢 饾攢饾摬饾摰饾摰 on January 07, 2022.",#鍚嶅墤鏃犲悕# Tired Collection:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiang Tian is one color without fine dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish and dragons dive and watch the Taoist body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can heaven and man have two general meanings?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The truth is only in people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#鈽笍 #灏忛槼#鍖楁柟绉?#鈽?锔?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#瑭?#涓栧崕#瑷?钁?#鏂囬潚#Quotations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃専 #闋婂竷甯僷lay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunderbolt beacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#will #馃摲 #photo#human figure#film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photography#photography#鎬濄亜鍑?#閲戞湀鏃?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#picture good 銇? 銇? 浜恒仺 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photogood 銇? 銇? 銇? 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#銇娿倓銇欍伩銇仌銇?#Goodnight#goodnight""",0,1350,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/271372263_139836048466439_365939.jpg ? _nc_ht = scontent-atl3-2.cdninstagram.com & _nc_cat = 111 & _nc_ohc = USMmxHuv1WoAX8KWO6n & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT_LMvniSq2DthW3sznreau3UYJN712Z09eHwoNkY_eDFg & oe = 61E7DE4A & _nc_sid = d997c6 , , Sword unknown , tired closed days , 鈽笍 ," Little Sun"""," ""North Fangxiu"""," ""鈽?锔?"""," ""Poem"""," ""Shihua"""," ""Yanqi"""," ""Wen Qing"""," ""Quotations"""," ""馃専"""," ""Pili Puppet Show"""," ""Pili Bingfeng"" ""Judgment""",will,馃摲,photograph,figure,picture,photograph,photography,thinking out,Golden Day,good picture 銇嶃仾浜恒仺銇屻倞銇熴亜, The photo is good 銇? 銇? 銇? 銇? 銈? 銇? 銇?,銇娿倓銇欍伩銇仌銇?,Goodnight,goodnight,,,2.74582E+18,17,,,,,,,,1339060785,,145,,Thunderbolt puppet show,CYbIMuVl4sl,2022 -01-07T09:30:04.000Z,Image,https://www.instagram.com/p/CYbIMuVl4sl/,,
Photo by Qingxin Fuquan-Bei'an Store in Qingxin Fuquan-Beian Store. May be an anime-style image of text.,"馃敟Stone-shattering 馃敟Qingxin Fuquan launches limited edition Su Huanzhen"" drink bag", which is extraordinary! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you want to master half the sky in civil and military affairs," you must first master ""Su is true"". During the Spring Festival"," even children and children will bring ""Susu"" to drink and watch thunderbolts", and celebrate the New Year.馃イ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 11:00 a.m. on 1/10, come to the store to buy a large drink," add 150 yuan to buy a ""Su Huanzhen"" drink bag", the quantity is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The beverage bag uses the sublimation full-color transfer printing technology to delicately present the spirit, temperament, clothing and weapons of the characters, with Susu's elegant demeanor and Qingxin Fuquan delicious beverages in one hand, to enjoy the full joy and auspiciousness of the year of Renyin!馃Ё馃Ё,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睵recautions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. The number of each store for this premium purchase is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Wear a mask and maintain proper social distance when queuing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. This premium purchase is limited to ""in-store"" consumption", and is not applicable to delivery, telephone reservations and consumption through delivery platforms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻瞫tore baseQuery: https://pse.is/MAGDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睸ome stores have postponed salesInquiry: https://www.chingshin.tw/upload/image/20220106product03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#娓呭績绂忓叏#鎵? shakedrink#Spring Festival New Year movie# thunder cloth puppet show# Su Huanzhen drink bag# Happy New Year# Su Huanzhen #January 28," 2022 Spring Festival witnesses the legend""",0,814, 1080 , https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271448697_641750750304002_6564357868034305914_n.jpg?_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=xg6rdh2Mp7MAX8av1f2&edm= AA0rjkIBAAAA&ccb=7-4&oh=00_AT8ZuHPDEnzNLW28O6N12bKKt7yeg_qQ9ubmvV9wI9nleA&oe=61E8E2C4&_nc_sid=d997c6,,Qingxinfuquan,Hand-shaking drinks,Chinese New Year movie,Thunderbolt puppet show,Very real drink bag," ""Happy""",Surely True,"Witness the legend during the Spring Festival on January 28, 2022",,,,,,,,,,,,,,,,,,,,,,2.74581E+18,1,,,,,,,,13974074974,,146,,Puppet Show,CYbFDk9JmOY,2022-01-07T09:02:36.000Z,Image,https://www.instagram.com/p/CYbFDk9JmOY/,,
"Photo by Liao Yanfeng on January 07, 2022. May be an anime-style image of text that says 'The Origin of Legendary Heroes PILI LEGEND 2022 Lunar New Year Witness the Legend'.",These days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two things are constantly being discussed in the office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One is that the share price of Perak has been soaring.馃搱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The second is the real movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So a few people started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witness the legend together on January 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Go~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was originally a lack of interest U know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But after watching the trailer鈰?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#suzhenzhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunder cloth puppet show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunderbolt shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#20220128Witness the legend""",0,1349,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/e15/271418650_628660671678900_4175130297029846344_n.jpg?_nc_ht=content -atl3-2.cdninstagram.com & _nc_cat = 100 & _nc_ohc = lFRF-hs-vQEAX-_Svug & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT-TZvR1OAS9xR5xY7GiEVZil2ZQmZqzG8h6sqXgnc0krA & oe = 61E86306 & _nc_sid = d997c6 , , also really , Charlie puppet , Thunderbolt shares,20220128 Witness the legend,,,,,,,,,,,,,,,,,,,,,,,,,,2.74578E+18,18,,,,,,, ,2244315178,,147,,Thunderbolt Puppet Show,CYa_EWPFmrA,2022-01-07T08:10:17.000Z,Image,https://www.instagram.com/p /CYa_EWPFmrA/,,,
"Photo by Pili Puppet Show on January 06, 2022. May be an image of text that says 'S LUOHUAZHAO Falling Flowers 2022漏 PILI INTERNATIONAL MUL TIMEDIA'.",銆怮ianshan Flying Snow Falling Flowers銆?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were several plum branches in the corner, and Ling Han opened it alone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowing from a distance is not snow, but for a dark fragrance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Taipei#taipei #yunlin# Luohuachao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mei#magneng#zangyuange#four kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#瑁濆姗?#椹竷甯冪# Thunderbolt War Magic Policy""",2,1080,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/fr /e15/s1080x1080/271367870_1291893544557866_8675280208887000697_n.jpg?_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=XGAfI_jwjy4AX9ToG_8&edm=AA0rjkIBAAAA&ccb=7-4&oh=00_AT-Pt_5DN85SV01WCMGnldIsgX4zLVqqubrDFhIE8ImVBQ&oe=61E7C06F&_nc_sid=d997c6 , , Taipei , taipei  ,Yunlin,Luohuachao,Mei,Magic Energy,Zangyuan Pavilion,Four Monarchs,Puppet Show,Thunderbolt Puppet Show,Thunderbolt War Magic Policy,, ,,,,,,,,,,,,,,,,,2.74566E+18,496,,,,,,,,3898606038,,148,,Thunderbolt Puppet Show, CYaif7HsUM2,2022-01-07T04:00:38.000Z,Image,https://www.instagram.com/p/CYaif7HsUM2/,,,
"Photo by Qingxin Fuquan-Badouzi Store in Keelung on January 06, 2022. May be an anime-style image of text.","馃敟Shiba Tianjing 馃敟Qingxin Fuquan launched a limited edition Su Huanzhen"" drink bag", which is extraordinary! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you want to master half the sky in civil and military affairs," you must first master ""Su is true"". During the Spring Festival"," even children and children will bring ""Susu"" to drink and watch thunderbolts", and celebrate the New Year.馃イ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 11:00 a.m. on 1/10, come to the store to buy a large drink," add 150 yuan to buy a ""Su Huanzhen"" drink bag", the quantity is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The beverage bag uses the sublimation full-color transfer printing technology to delicately present the spirit, temperament, clothing and weapons of the characters, with Susu's elegant demeanor and Qingxin Fuquan delicious beverages in one hand, to enjoy the full joy and auspiciousness of the year of Renyin!馃Ё馃Ё,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睵recautions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. The number of each store for this premium purchase is limited, while stocks last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Wear a mask and maintain proper social distance when queuing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. This premium purchase is limited to ""in-store"" consumption", and is not applicable to delivery, telephone reservations and consumption through delivery platforms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻瞫tore baseQuery: https://pse.is/MAGDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈻睸ome stores have postponed salesInquiry: https://www.chingshin.tw/upload/image/20220106product03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
